Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Александр Ермолаев",normal,5,Failed,"Weather Station","Weather Station: Objective #1","1","12:08:43","12:10:39",
Bot2,"Rodolfo Browne",normal,14,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","12:08:43","12:08:56",
Bot2,"Rodolfo Browne",normal,14,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","12:09:01","12:12:30",
Bot3,"Феликс Кадников",normal,13,Completed,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N2","1","12:08:43","12:10:41",
Bot6,"Порфирий Правильный (Deangelo)",normal,1,Pending,"Cabins","Cabins: Objective #6","1","12:08:43","N/A",
Bot8,"Харитон Жиглов",normal,12,Completed,"Fishing Gear","Zone place_peacemaker_001","2","12:08:48","12:10:00",
Bot8,"Харитон Жиглов",normal,12,Completed,"Gas Station Sniping 2","Gas Station Sniping 2: Objective #1","2","12:10:05","12:12:13",
Bot8,"Харитон Жиглов",normal,12,Completed,"Gas Station Sniping 2","Gas Station Sniping 2: Objective #2","2","12:12:18","12:13:46",
Bot8,"Харитон Жиглов",normal,12,Failed,"Weather Station Sniping","Weather Station Sniping: Objective #1","1","12:13:51","12:15:48",
Bot9,"Корней Гавриленков",normal,19,Completed,"Eagle Eye","Item UAV SAS disk #2","1","12:08:49","12:10:50",
Bot9,"Корней Гавриленков",normal,19,Completed,"Eagle Eye","Zone place_peacemaker_004_N1","1","12:10:55","12:16:27",
Bot9,"Корней Гавриленков",normal,19,Failed,"Radio Tower","Radio Tower: Objective #1","1","12:16:32","12:18:30",
Bot10,"Пантелей Салтанов",normal,16,Completed,"Eagle Eye","Item UAV SAS disk #2","1","12:08:49","12:11:29",
Bot10,"Пантелей Салтанов",normal,16,Failed,"Eagle Eye","Zone place_peacemaker_004_N1","1","12:11:35","12:14:01",
Bot17,"Фома Лёвкин",normal,11,Active,"Resort West Wing Basement","Resort West Wing Basement: Objective #1","1","12:09:05","N/A",
Bot16,"Кузьма Дворников",normal,14,Failed,"Wet Job - Part 4","Item Sliderkey Flash drive","1","12:09:05","12:13:21",
Bot23,"Афанасий Черкашин",normal,15,Completed,"Sanitar's House","Sanitar's House: Objective #1","3","12:13:54","12:15:49",
Bot23,"Афанасий Черкашин",normal,15,Completed,"West Cottage","West Cottage: Objective #1","3","12:15:54","12:17:17",
Bot23,"Афанасий Черкашин",normal,15,Completed,"Cottage Garage","Cottage Garage: Objective #1","1","12:17:22","12:17:52",
Bot23,"Афанасий Черкашин",normal,15,Active,"Bus Terminal","Bus Terminal: Objective #3","1","12:17:57","N/A",
Bot24,"Demarcus Cassano",normal,37,Completed,"Cabins","Cabins: Objective #5","1","12:14:17","12:15:25",
Bot24,"Demarcus Cassano",normal,37,Completed,"Cabins","Cabins: Objective #2","1","12:15:30","12:15:35",
Bot24,"Demarcus Cassano",normal,37,Failed,"Cabins","Cabins: Objective #4","1","12:15:40","12:16:54",
Bot24,"Demarcus Cassano",normal,37,Completed,"Cabins","Cabins: Objective #7","1","12:16:59","12:17:03",
Bot24,"Demarcus Cassano",normal,37,Completed,"Cabins","Cabins: Objective #3","2","12:17:09","12:17:54",
Bot24,"Demarcus Cassano",normal,37,Active,"Cabins","Cabins: Objective #1","1","12:17:59","N/A",
Bot25,"Лаврентий Поздняков",normal,20,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","12:15:19","12:16:40",
Bot25,"Лаврентий Поздняков",normal,20,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #3","1","12:16:45","12:16:57",
Bot25,"Лаврентий Поздняков",normal,20,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","12:17:02","12:17:21",
Bot25,"Лаврентий Поздняков",normal,20,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","12:17:26","12:17:54",
Bot25,"Лаврентий Поздняков",normal,20,Active,"Power Station Sniping","Power Station Sniping: Objective #1","1","12:17:59","N/A",
Bot26,"Демьян Перевёртов",normal,33,Completed,"Power Station Sniping","Power Station Sniping: Objective #3","2","12:15:59","12:19:03",
Bot26,"Демьян Перевёртов",normal,33,Active,"Power Station Sniping","Power Station Sniping: Objective #2","1","12:19:08","N/A",
Bot27,"Остап Осинов",normal,18,Completed,"Radio Tower","Radio Tower: Objective #1","2","12:16:03","12:17:34",
Bot27,"Остап Осинов",normal,18,Failed,"Weather Station","Weather Station: Objective #1","1","12:17:40","12:17:48",
Bot28,"Кондратий Сметанин",normal,21,Active,"Radio Tower","Radio Tower: Objective #1","2","12:17:18","N/A",
