Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot24,"Carlton Harter",normal,4,Failed,"Introduction","Item Encrypted message","1","20:19:34","20:29:33",
Bot22,"Тарас Сучкин",normal,8,Failed,"Introduction","Item Encrypted message","1","20:19:34","20:22:43",
Bot23,"Wade Willbanks",normal,9,Completed,"Introduction","Item Encrypted message","1","20:19:34","20:20:29",
Bot23,"Wade Willbanks",normal,9,Completed,"Introduction","Zone huntsman_001","1","20:20:34","20:20:38",
Bot23,"Wade Willbanks",normal,9,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","20:20:43","20:21:46",
Bot23,"Wade Willbanks",normal,9,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","20:21:51","20:26:30",
Bot23,"Wade Willbanks",normal,9,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:26:31","20:26:58",
Bot23,"Wade Willbanks",normal,9,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","20:27:03","20:28:49",
Bot23,"Wade Willbanks",normal,9,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #1","1","20:28:54","20:29:12",
Bot26,"Sandy Drewes",normal,31,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","20:19:34","20:21:39",
Bot26,"Sandy Drewes",normal,31,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","20:21:44","20:26:42",
Bot26,"Sandy Drewes",normal,31,Completed,"Steady Signal","Zone q14_8_3","1","20:26:47","20:27:41",
Bot26,"Sandy Drewes",normal,31,Completed,"Steady Signal","Zone q14_8_2","1","20:27:46","20:29:16",
Bot26,"Sandy Drewes",normal,31,Active,"Steady Signal","Zone q14_8_5","1","20:29:21","N/A",
Bot25,"Денис Беляев",normal,20,Completed,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","20:19:34","20:20:09",
Bot25,"Денис Беляев",normal,20,Completed,"Supply Plans","Item Secure Folder 0052","1","20:20:14","20:22:14",
Bot25,"Денис Беляев",normal,20,Archived,"Sawmill Patrol","Sawmill Patrol: Objective #1","2","20:22:19","20:23:49",
Bot25,"Денис Беляев",normal,20,Archived,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","20:23:54","20:25:32",
Bot25,"Денис Беляев",normal,20,Archived,"Sawmill Patrol","Sawmill Patrol: Objective #4","2","20:25:37","20:26:11",
Bot25,"Денис Беляев",normal,20,Archived,"Sawmill Patrol","Sawmill Patrol: Objective #5","2","20:26:16","20:27:31",
Bot25,"Денис Беляев",normal,20,Archived,"Sawmill Patrol","Sawmill Patrol: Objective #3","2","20:27:36","N/A",
Bot25,"Денис Беляев",normal,20,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","20:30:28","20:30:28",
Bot25,"Денис Беляев",normal,20,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","20:30:33","20:34:11",
Bot25,"Денис Беляев",normal,20,Completed,"Steady Signal","Zone q14_8_3","1","20:34:16","20:34:58",
Bot25,"Денис Беляев",normal,20,Completed,"Steady Signal","Zone q14_8_2","1","20:35:03","20:36:15",
Bot25,"Денис Беляев",normal,20,Completed,"Steady Signal","Zone q14_8_5","1","20:36:20","20:38:48",
Bot27,"Aurelio Hoskinson",normal,35,Completed,"Return the Favor","Zone place_keeper5_1","2","20:19:34","20:20:44",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Return the Favor","Zone place_keeper5_2","1","20:20:49","20:22:00",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","20:22:01","20:22:01",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","20:22:06","20:22:06",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","20:22:11","20:22:11",
