Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot7,"Назар Илькун",normal,10,Failed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","20:30:09","20:30:37",
Bot7,"Назар Илькун",normal,10,Completed,"Chemical - Part 1","Zone bomj_place","1","20:30:42","20:32:02",
Bot8,"Bill Smyth",normal,21,Completed,"Farming - Part 3","Item Package of graphics cards","1","20:30:09","20:31:09",
Bot16,"Leo Matsumoto",normal,11,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","20:30:14","20:30:21",
Bot16,"Leo Matsumoto",normal,11,Completed,"Operation Aquarius - Part 1","Zone room206_water","1","20:30:26","20:31:49",
Bot16,"Leo Matsumoto",normal,11,Failed,"Shaking up the Teller","Item Bank case","1","20:31:55","20:35:19",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"Power Switch","Power Switch: Objective #1","1","20:31:28","20:31:33",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"New Gas","New Gas: Objective #1","1","20:31:34","20:31:50",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"New Gas","New Gas: Objective #3","1","20:31:55","20:31:55",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"New Gas","New Gas: Objective #2","1","20:32:01","20:32:22",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"Warehouse 4","Warehouse 4: Objective #3","1","20:32:28","20:32:32",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"Warehouse 4","Warehouse 4: Objective #2","1","20:32:37","20:32:49",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"Warehouse 4","Warehouse 4: Objective #1","1","20:32:54","20:32:58",
Bot19,"Дэнчик Москва (Patrick)",normal,1,Failed,"Storage Building","Storage Building: Objective #2","1","20:33:03","20:33:11",
Bot25,"Валерий Ульяшин",normal,44,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:34:24","20:36:50",
Bot25,"Валерий Ульяшин",normal,44,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","20:36:55","20:39:42",
Bot25,"Валерий Ульяшин",normal,44,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","20:39:47","20:40:07",
Bot25,"Валерий Ульяшин",normal,44,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","20:40:12","20:45:34",
Bot26,"Егор Пузанов",normal,36,Completed,"Crackhouse","Crackhouse: Objective #7","1","20:34:47","20:36:28",
Bot26,"Егор Пузанов",normal,36,Failed,"Crackhouse","Crackhouse: Objective #2","1","20:36:34","20:36:47",
Bot29,"Трофим Зуйков",normal,13,Failed,"Short Cut","Short Cut: Objective #1","1","20:35:35","20:37:06",
Bot29,"Трофим Зуйков",normal,13,Failed,"Fortress","Fortress: Objective #3","1","20:37:11","20:38:09",
Bot33,"Валя Фургон (Sebastian)",normal,1,Completed,"Power Switch","Power Switch: Objective #1","2","20:38:06","20:38:28",
Bot33,"Валя Фургон (Sebastian)",normal,1,Failed,"Old Gas","Old Gas: Objective #2","1","20:38:33","20:42:46",
Bot33,"Валя Фургон (Sebastian)",normal,1,Completed,"Old Gas","Old Gas: Objective #1","1","20:39:20","20:40:07",
Bot33,"Валя Фургон (Sebastian)",normal,1,Completed,"Giving Tree","Giving Tree: Objective #1","1","20:40:12","20:40:40",
Bot33,"Валя Фургон (Sebastian)",normal,1,Completed,"Fortress","Fortress: Objective #5","1","20:40:45","20:41:54",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #1","1","20:38:16","20:38:43",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Scav Checkpoint","Scav Checkpoint: Objective #2","1","20:38:48","20:38:55",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","20:39:01","20:39:52",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Smokestack","Smokestack: Objective #3","1","20:39:57","20:40:13",
Bot34,"Эльдар Япончик (Edison)",normal,1,Failed,"Smokestack","Smokestack: Objective #2","1","20:40:19","20:40:48",
Bot34,"Эльдар Япончик (Edison)",normal,1,Failed,"Glass Building","Glass Building: Objective #3","2","20:40:53","20:46:08",
Bot34,"Эльдар Япончик (Edison)",normal,1,Failed,"Glass Building","Glass Building: Objective #1","1","20:41:41","20:46:08",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Glass Building","Glass Building: Objective #2","1","20:42:01","20:42:24",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Glass Building","Glass Building: Objective #4","1","20:42:29","20:42:47",
Bot34,"Эльдар Япончик (Edison)",normal,1,Completed,"Checkpoint","Checkpoint: Objective #1","1","20:42:52","20:44:26",
Bot34,"Эльдар Япончик (Edison)",normal,1,Failed,"Checkpoint","Checkpoint: Objective #2","1","20:44:31","20:44:39",
Bot34,"Эльдар Япончик (Edison)",normal,1,Failed,"Substation","Substation: Objective #4","1","20:44:44","20:46:08",
Bot35,"Deandre Griffing",normal,29,Completed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","20:38:27","20:38:41",
Bot35,"Deandre Griffing",normal,29,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","20:38:46","20:39:14",
Bot35,"Deandre Griffing",normal,29,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","20:39:19","20:39:32",
Bot35,"Deandre Griffing",normal,29,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","20:39:37","20:41:08",
Bot35,"Deandre Griffing",normal,29,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","20:41:13","20:41:24",
Bot35,"Deandre Griffing",normal,29,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","20:41:29","20:42:10",
Bot36,"Hollis Delgadillo",normal,37,Completed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","20:38:27","20:42:41",
Bot36,"Hollis Delgadillo",normal,37,Failed,"Short Cut","Short Cut: Objective #1","1","20:42:46","20:43:32",
Bot36,"Hollis Delgadillo",normal,37,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","20:43:37","20:46:41",
Bot37,"Георгий Малинов",normal,42,Completed,"Checkpoint","Checkpoint: Objective #1","1","20:40:38","20:42:06",
Bot37,"Георгий Малинов",normal,42,Failed,"Checkpoint","Checkpoint: Objective #2","1","20:42:12","20:42:31",
Bot37,"Георгий Малинов",normal,42,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","20:42:36","20:43:06",
Bot37,"Георгий Малинов",normal,42,Failed,"New Gas","New Gas: Objective #1","1","20:43:11","20:43:45",
Bot37,"Георгий Малинов",normal,42,Failed,"New Gas","New Gas: Objective #2","1","20:43:50","20:43:52",
Bot37,"Георгий Малинов",normal,42,Failed,"New Gas","New Gas: Objective #3","1","20:43:57","20:44:05",
Bot37,"Георгий Малинов",normal,42,Failed,"Short Cut","Short Cut: Objective #1","1","20:44:10","20:44:22",
Bot37,"Георгий Малинов",normal,42,Active,"Old Gas","Old Gas: Objective #2","1","20:44:27","N/A",
Bot38,"Ростислав Воронков",normal,37,Completed,"Giving Tree","Giving Tree: Objective #1","1","20:42:35","20:43:32",
Bot38,"Ростислав Воронков",normal,37,Failed,"Fortress","Fortress: Objective #5","1","20:43:38","20:44:09",
Bot41,"Нестор Посохов",normal,6,Archived,"Warehouse 17","Warehouse 17: Objective #1","1","20:43:39","20:43:57",
Bot41,"Нестор Посохов",normal,6,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","20:44:03","20:44:57",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #3","1","20:45:02","20:45:35",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #6","1","20:45:40","20:46:05",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #9","4","20:46:10","20:48:24",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #1","1","20:48:29","20:48:40",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #4","1","20:48:45","20:49:07",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #8","3","20:49:12","20:50:13",
Bot41,"Нестор Посохов",normal,6,Completed,"Fortress","Fortress: Objective #2","1","20:50:18","20:50:35",
Bot41,"Нестор Посохов",normal,6,Active,"Giving Tree","Giving Tree: Objective #1","1","20:50:40","N/A",
Bot42,"Olen Fenner",normal,11,Completed,"Crackhouse","Crackhouse: Objective #2","1","20:44:13","20:44:23",
Bot42,"Olen Fenner",normal,11,Completed,"Crackhouse","Crackhouse: Objective #4","1","20:44:28","20:44:37",
Bot42,"Olen Fenner",normal,11,Completed,"Crackhouse","Crackhouse: Objective #1","1","20:44:42","20:45:14",
